NONE	Orthogroup	Aedaeg	Aedalb	Anofun	Anoste	Culpip	Culqui
NONE	OG0000143	1	26	0	0	1	1
NONE	OG0000144	5	5	2	2	8	7
NONE	OG0000145	0	22	0	0	3	4
NONE	OG0000146	0	0	0	0	17	12
NONE	OG0000147	8	9	1	1	3	6
NONE	OG0000148	10	6	0	0	7	5
NONE	OG0000149	7	19	0	0	1	1
NONE	OG0000150	14	12	0	0	1	1
NONE	OG0000151	10	6	2	1	3	6
NONE	OG0000152	0	28	0	0	0	0
NONE	OG0000153	0	27	0	0	1	0
NONE	OG0000154	0	27	0	0	1	0
NONE	OG0000155	0	28	0	0	0	0
NONE	OG0000156	0	24	0	0	4	0
NONE	OG0000157	0	0	0	0	10	18
NONE	OG0000158	3	7	1	1	8	7
NONE	OG0000159	5	5	2	2	6	7
NONE	OG0000160	7	6	1	0	8	5
NONE	OG0000161	4	8	0	1	7	7
NONE	OG0000162	4	4	4	4	5	6
NONE	OG0000163	2	6	15	4	0	0
NONE	OG0000164	5	17	0	0	4	1
NONE	OG0000165	1	25	0	0	1	0
NONE	OG0000166	2	3	1	16	3	2
NONE	OG0000167	1	2	0	0	12	12
NONE	OG0000168	0	19	0	0	4	4
NONE	OG0000169	0	27	0	0	0	0
NONE	OG0000170	0	26	0	0	1	0
NONE	OG0000171	0	21	1	0	0	4
NONE	OG0000172	18	8	0	0	0	0
NONE	OG0000173	1	1	1	0	20	3
NONE	OG0000174	3	8	2	1	6	6
NONE	OG0000175	5	15	1	1	2	2
NONE	OG0000176	13	12	0	0	1	0
NONE	OG0000177	3	4	5	1	6	7
NONE	OG0000178	3	11	0	0	5	7
NONE	OG0000179	4	6	4	4	4	4
NONE	OG0000180	5	8	2	1	5	5
NONE	OG0000181	1	25	0	0	0	0
NONE	OG0000182	0	3	4	0	5	14
NONE	OG0000183	0	22	4	0	0	0
NONE	OG0000184	0	18	0	0	7	1
NONE	OG0000185	0	11	5	9	0	0
NONE	OG0000186	0	8	13	4	0	0
NONE	OG0000187	5	5	1	1	8	5
NONE	OG0000188	6	8	1	1	5	4
NONE	OG0000189	3	2	4	3	7	6
NONE	OG0000190	5	6	4	4	3	3
NONE	OG0000191	20	1	1	1	1	1
NONE	OG0000192	5	18	0	0	1	1
NONE	OG0000193	7	6	4	8	0	0
NONE	OG0000194	5	4	4	3	5	4
NONE	OG0000195	0	4	18	2	0	0
NONE	OG0000196	5	8	1	3	4	3
NONE	OG0000197	2	3	2	2	7	8
NONE	OG0000198	4	8	0	1	6	5
NONE	OG0000199	3	5	0	0	8	8
NONE	OG0000200	2	4	1	0	12	5
NONE	OG0000201	5	4	11	0	2	2
NONE	OG0000202	6	6	1	1	5	5
NONE	OG0000203	9	13	0	0	1	1
NONE	OG0000204	5	14	0	0	3	2
NONE	OG0000205	4	12	0	0	4	4
NONE	OG0000206	2	2	1	2	8	9
NONE	OG0000207	0	24	0	0	0	0
NONE	OG0000208	0	5	16	3	0	0
NONE	OG0000209	0	9	0	0	6	9
NONE	OG0000210	0	24	0	0	0	0
NONE	OG0000211	0	0	0	0	13	11
NONE	OG0000212	0	1	1	1	7	13
NONE	OG0000213	3	3	3	5	4	5
NONE	OG0000214	0	0	0	0	10	13
NONE	OG0000215	1	1	12	9	0	0
NONE	OG0000216	6	11	2	4	0	0
NONE	OG0000217	5	4	3	3	4	4
NONE	OG0000218	6	6	3	2	3	3
NONE	OG0000219	6	5	3	4	3	2
NONE	OG0000220	9	11	0	0	1	2
NONE	OG0000221	4	3	2	4	6	4
NONE	OG0000222	9	6	0	0	6	2
NONE	OG0000223	10	10	0	0	1	2
NONE	OG0000224	4	4	0	0	8	7
NONE	OG0000225	1	13	1	1	3	4
NONE	OG0000226	3	2	0	0	9	9
NONE	OG0000227	0	23	0	0	0	0
NONE	OG0000228	0	14	0	0	3	6
NONE	OG0000229	0	11	0	0	5	7
NONE	OG0000230	0	0	23	0	0	0
NONE	OG0000231	0	0	0	0	14	9
NONE	OG0000232	0	20	0	0	2	0
NONE	OG0000233	2	9	1	1	2	7
NONE	OG0000234	3	3	1	1	8	6
NONE	OG0000235	3	4	6	6	2	1
NONE	OG0000236	3	2	2	2	7	6
NONE	OG0000237	4	4	4	1	5	4
NONE	OG0000238	9	13	0	0	0	0
NONE	OG0000239	1	19	0	0	2	0
NONE	OG0000240	8	9	0	0	3	2
NONE	OG0000241	1	17	1	1	1	1
NONE	OG0000242	4	3	3	2	6	4
NONE	OG0000243	5	6	4	2	3	2
NONE	OG0000244	7	1	4	3	4	3
NONE	OG0000245	2	6	5	3	3	3
NONE	OG0000246	0	17	0	0	2	3
NONE	OG0000247	0	22	0	0	0	0
NONE	OG0000248	0	8	0	0	4	10
NONE	OG0000249	0	0	1	19	1	1
NONE	OG0000250	1	1	7	6	3	3
NONE	OG0000251	5	6	1	1	4	4
NONE	OG0000252	2	3	6	8	1	1
NONE	OG0000253	12	6	1	1	0	1
NONE	OG0000254	5	6	0	5	3	2
NONE	OG0000255	2	2	5	5	3	4
NONE	OG0000256	1	1	1	1	9	8
NONE	OG0000257	12	3	2	0	2	2
NONE	OG0000258	6	6	0	0	4	5
NONE	OG0000259	6	7	1	1	3	3
NONE	OG0000260	3	4	0	0	6	8
NONE	OG0000261	6	4	2	2	6	1
NONE	OG0000262	2	4	4	4	4	3
NONE	OG0000263	4	5	1	1	8	2
NONE	OG0000264	2	2	6	4	3	4
NONE	OG0000265	5	8	0	0	5	3
NONE	OG0000266	0	20	0	1	0	0
NONE	OG0000267	0	20	0	0	1	0
NONE	OG0000268	5	5	0	1	5	4
NONE	OG0000269	8	6	5	0	1	0
NONE	OG0000270	1	13	0	1	5	0
NONE	OG0000271	4	6	1	1	3	5
NONE	OG0000272	7	5	2	2	2	2
NONE	OG0000273	6	5	1	1	3	4
NONE	OG0000274	0	1	15	4	0	0
NONE	OG0000275	4	6	0	1	3	6
NONE	OG0000276	2	2	1	1	7	7
